[description:"work task 3" end:"1651342297" entry:"1651271992" modified:"1651342297" status:"completed" uuid:"26013743-3880-41f6-964b-4f913eb52e12"]
[annotation_1625241345:"lecker lecker Kaffee" description:"Kaffe am Holzmarkt kaufen" end:"1630266009" entry:"1625241322" modified:"1630266009" project:"PRIVATE" status:"completed" tags:"private" tags_private:"x" uuid:"22da93f0-90d2-4b92-b631-2bec8dcb8f55"]
[annotation_1626645344:"sollte man jetzt echt mal machen, was sollte da alles hin? am besten denke ich braucht man erst mal Steckdosen und eine in der Hecke versteckte Verteilerdose" annotation_1626898446:"Lampen (Hue) bestellen \/ Anka Feedback fragen. Strom direkt neben Schiebetüre plus ein wetterfester Stromkasten in Richtung Hecke" annotation_1627158850:"Lampen Kabel prüfen von innen, Steckdose bestellen und setzten + Wetterfest Verteilerdose in Richtung Hecke" annotation_1627160280:"One more Annotation from inthe.am" description:"Außenbereich - Strom planen" due:"1627682400" end:"1630265996" entry:"1626386334" modified:"1630265996" project:"Terrasse" status:"completed" tags:"private" tags_private:"x" uuid:"0e7c63c8-b361-46f9-b995-2bb3a5d394b4"]
[description:"Außenbereich - Strom \/ Elektro einbauen" due:"1628546400" end:"1630265999" entry:"1626386352" modified:"1630265999" project:"Terrasse" status:"completed" tags:"private" tags_private:"x" uuid:"e2591ba7-f931-4371-85ad-b797dba9b644"]
[annotation_1627158789:"alles klar, recht und links neben Schiebetüre + eine Lampe für andere Hausseite" description:"Außenbereich - Lampen planen" due:"1627682400" end:"1630265998" entry:"1626386370" modified:"1630265998" project:"Terrasse" status:"completed" tags:"private" tags_private:"x" uuid:"284122db-69b2-45e9-9cb5-5efc105931fc"]
[description:"Steffen Gin einschenke" due:"1628200800" end:"1630266003" entry:"1628280195" modified:"1630266003" status:"completed" uuid:"0c063fdd-53da-4272-98fd-77cc7e1c4a90"]
[description:"breakfast" due:"1626933600" end:"1628020583" entry:"1626900654" mask:"X+X+++++++++++" modified:"1628020583" recur:"daily" status:"deleted" uuid:"58faf207-38b2-425c-9e1f-970c94edee63"]
[description:"task from macmini-sync test" end:"1628020592" entry:"1627031700" modified:"1628020592" status:"completed" uuid:"b92b67b3-2199-48a8-aae4-756233b84779"]
[description:"breakfast" due:"1627192800" end:"1628020442" entry:"1627893210" imask:"3.000000" modified:"1628020442" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"d0eb2db0-7df9-4878-a0aa-4bf8885605a3"]
[description:"breakfast" due:"1627279200" end:"1628020442" entry:"1627893210" imask:"4.000000" modified:"1628020442" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"0b2a81fd-f57c-406d-9c5a-fd90d9463aa5"]
[description:"breakfast" due:"1627365600" end:"1628020442" entry:"1627893210" imask:"5.000000" modified:"1628020442" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"3530be6c-cf7b-4aca-b82e-83b81e930142"]
[description:"breakfast" due:"1627452000" end:"1628020442" entry:"1627893210" imask:"6.000000" modified:"1628020442" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"a95314fb-800f-4eb1-b226-f873b153b203"]
[description:"breakfast" due:"1627538400" end:"1628020443" entry:"1627893210" imask:"7.000000" modified:"1628020443" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"9f147ffb-8e90-40a7-8dbd-64323a8a9340"]
[description:"breakfast" due:"1627624800" end:"1628020443" entry:"1627893210" imask:"8.000000" modified:"1628020443" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"dd19fc24-c46e-433c-83ad-95bb9063ed07"]
[description:"breakfast" due:"1627711200" end:"1628020443" entry:"1627893210" imask:"9.000000" modified:"1628020443" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"0f1ffa1e-211f-4283-b2d8-eb64a853f123"]
[description:"breakfast" due:"1627797600" end:"1628020443" entry:"1627893210" imask:"10.000000" modified:"1628020443" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"a914c108-41b7-4621-bfad-c4191c4f626f"]
[description:"breakfast" due:"1627884000" end:"1628020445" entry:"1627893210" imask:"11.000000" modified:"1628020445" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"4ae4c0de-4225-43ae-a6cb-8a11b9f2e0cc"]
[description:"breakfast" due:"1627970400" end:"1628020485" entry:"1627893210" imask:"12.000000" modified:"1628020485" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"completed" uuid:"224a67c1-11cb-435a-afe4-3396882234bf"]
[description:"breakfast" due:"1627192800" end:"1627160307" entry:"1627160228" imask:"3.000000" modified:"1627160307" parent:"58faf207-38b2-425c-9e1f-970c94edee63" recur:"daily" status:"deleted" uuid:"247f716a-b7f3-4acc-8053-a284e4fed23b"]
